batter,avg_last_5,avg_last_10
R Dravid,13.4,24.2
R McLaren,18.4,14.6
R Parag,47.0,38.6
R Powell,17.2,14.7
R Sathish,14.4,12.5
R Sharma,2.2,1.3
R Tewatia,20.4,16.0
R Vinay Kumar,2.6,8.0
RA Jadeja,16.8,22.5
RA Tripathi,31.2,25.9
RD Chahar,8.6,9.3
RD Gaikwad,46.8,52.1
RE van der Merwe,4.4,8.3
RG Sharma,9.2,28.0
RJ Harris,4.0,4.9
RK Singh,13.0,14.8
RM Patidar,40.0,34.3
RN ten Doeschate,11.4,10.5
RP Singh,1.2,1.0
RR Pant,40.6,36.7
RR Rossouw,30.4,24.9
RS Bopara,16.6,17.9
RV Uthappa,7.0,22.9
Rahmanullah Gurbaz,13.4,17.1
Ramandeep Singh,11.6,13.5
Rashid Khan,15.8,11.9
Ravi Bishnoi,2.2,2.2
S Anirudha,5.8,13.2
S Badrinath,21.6,19.8
S Dhawan,31.0,27.7
S Dube,15.6,28.6
S Gopal,7.4,7.4
S Nadeem,3.0,2.2
S Sohal,20.6,21.8
S Sreesanth,0.4,3.4
SA Asnodkar,15.8,13.1
SA Yadav,41.0,34.5
SC Ganguly,22.6,20.8
SE Marsh,39.6,34.0
SK Raina,4.4,14.3
SK Trivedi,4.2,3.7
SK Warne,2.4,3.6
SL Malinga,1.6,3.4
SM Curran,16.2,14.4
SM Katich,18.0,23.3
SN Khan,17.2,13.5
SN Thakur,6.4,12.5
SO Hetmyer,15.8,19.0
SP Goswami,11.0,12.1
SP Narine,25.0,34.8
SPD Smith,26.8,21.2
SR Tendulkar,20.2,22.5
SR Watson,15.8,28.5
SS Iyer,25.4,28.8
SS Tiwary,31.0,27.2
ST Jayasuriya,12.4,16.8
STR Binny,14.0,11.5
SV Samson,27.2,34.3
SW Billings,18.8,13.4
Sachin Baby,6.6,13.7
Sandeep Sharma,2.4,2.8
Shahbaz Ahmed,7.6,19.1
Shakib Al Hasan,9.4,12.9
Shashank Singh,31.4,32.2
Shivam Mavi,5.6,5.0
Shubman Gill,13.4,29.1
T Stubbs,24.4,27.2
TA Boult,6.0,6.1
TG Southee,1.0,6.6
TH David,22.6,24.1
TL Suman,10.2,8.1
TM Dilshan,13.4,26.7
TM Head,34.2,43.4
Tilak Varma,35.2,29.5
UBT Chand,20.4,21.5
UT Yadav,4.6,6.5
V Kohli,55.6,50.5
V Sehwag,12.2,22.8
V Shankar,13.4,17.5
VR Aaron,2.8,5.0
VR Iyer,38.0,26.1
VVS Laxman,11.2,10.4
WD Parnell,2.6,5.2
WP Saha,14.0,20.7
WPUJC Vaas,7.4,7.8
Washington Sundar,12.0,10.3
Y Nagar,14.0,12.0
Y Venugopal Rao,10.8,15.8
YBK Jaiswal,28.8,35.4
YK Pathan,7.2,11.1
YS Chahal,2.4,2.5
Yuvraj Singh,21.8,16.8
Z Khan,2.0,1.8
