bowler,avg_last_5,avg_last_10
S Sreesanth,1.0,0.9
S Tyagi,0.2,0.3
SB Jakati,0.2,0.4
SB Styris,1.6,0.9
SC Ganguly,0.6,0.3
SJ Srivastava,1.4,1.1
SK Raina,0.2,0.1
SK Trivedi,0.6,0.5
SK Warne,0.8,1.1
SL Malinga,1.4,1.6
SM Curran,0.8,1.3
SM Pollock,1.4,1.3
SN Thakur,0.6,0.6
SP Narine,1.4,1.4
SR Watson,0.0,0.7
ST Jayasuriya,1.2,0.8
STR Binny,0.2,0.5
SW Tait,0.4,1.1
Sandeep Sharma,1.0,1.3
Shahbaz Ahmed,0.6,0.3
Shakib Al Hasan,0.6,0.7
Shivam Mavi,0.8,1.3
Sohail Tanvir,2.6,2.3
Suyash Sharma,0.2,0.7
Swapnil Singh,0.8,0.6
T Natarajan,1.0,1.5
TA Boult,0.6,0.8
TG Southee,1.6,1.8
TK Curran,0.4,0.7
TL Suman,0.0,0.6
TM Dilshan,0.0,0.0
TU Deshpande,2.0,1.4
UT Yadav,1.0,0.7
Umran Malik,0.4,1.0
V Kohli,0.2,0.2
V Sehwag,0.4,0.4
V Shankar,1.0,0.9
VG Arora,0.6,1.2
VR Aaron,0.4,0.6
VRV Singh,0.2,0.7
VS Malik,0.6,0.4
VY Mahesh,1.0,1.4
Vijaykumar Vyshak,1.0,1.3
WD Parnell,1.2,1.4
WPUJC Vaas,2.0,1.9
Washington Sundar,0.6,0.5
Y Venugopal Rao,0.0,0.3
YA Abdulla,1.2,1.5
YK Pathan,0.4,0.3
YS Chahal,1.0,1.1
Yash Dayal,1.6,1.3
Yash Thakur,0.8,1.5
Yuvraj Singh,0.4,0.2
Z Khan,0.4,1.0
